Russian Captions                          Georgian Captions
Атлассиб Сибиу                            atlasib sibiu
Джурджу                                   jurju
Сан Франциско                             san francisko
Сан-Франциско                             san-francisko
Сан Хосе Ст.                              san xose st.
Аррас                                     arasi
Зап. Мичиган                              das. miCigani
Темпл                                     templi
Айона                                     aiona
Пердью                                    perdiu
Логан                                     logani
АИC                                       ais
ТТУ Калев                                 ttu kalevi
Мьянма                                    mianma
Фуэнтеррабиа                              fuenterabia
Сельта Виго                               selta vigo
Тояма                                     toiama
Райзинг Фукуока                           raizing fukuoka
Баи Рокетс                                bai roketsi
Дунгуань Лепардс                          dunguan lepardsi
Пекин Дакс                                pekin daqsi
Цзилинь Тайгерс                           czilin Taigersi
Фуцзянь Сюньсин                           fuczian siunsini
Шаньси Чжунюй                             Sansi CJuniui
Циндао Даблстар                           cindao dablstari
Шанхай Шаркс                              Sanxai Sarqsi
Чжэцзян Гуанша                            CJeczian guanSa
Тяньцзинь Жунтан                          tianczin Juntani
Мэриленд                                  merilendi
Небраска                                  nebraska
Род Айланд                                rod ailendi
Огайо                                     ohaio
Арканзас Ст.                              arkanzas st.
Сев. Иллинойс                             Cr. ilinoisi
Вост. Иллинойс                            aRm. ilinoisi
УНС-Гринсборо                             uns-grinsboro
Тоусон                                    tousoni
Фурман                                    furmani
Лойола Чикаго Ил.                         loiola Cikago il.
Пенн Ст.                                  pen st.
Юж. Флорида                               samx. florida
Вост. Кентукки                            aRm. kentuki
Лихай                                     lixai
ЛСУ                                       lsu
Джорджия Тех.                             jorjia teq.
Флорида Ст.                               florida st.
Юж. Алабама                               samx. alabama
Уинтроп                                   uintropi
Мичиган                                   miCigani
Вирджиния                                 virjinia
Дрейк                                     dreiki
Джорджия                                  jorjia
Калифорния                                kalifornia
Пеппедайн                                 pepedaini
Централ Мичиган                           central miCigani
Канзас                                    kanzasi
Джорджтаун                                jorjTauni
Чжэцзян Хорсес                            CJeczian xorsesi
Гавайи                                    havai
Вост. Вашингтон                           das. vaSingtoni
Дьюк                                      diuki
Иллинойс                                  ilinoisi
Иллинойс Ст.                              ilinois st.
Дартмут                                   dartmuti
Элитцур Рамла                             elitcur ramla
Индиана Ст.                               indiana st.
Техас Тех.                                teqsas tex.
Сент-Луис                                 sent-luisi
Бостон Колледж                            boston koleji
Центр. Флорида                            centr. florida
Депол                                     depoli
Нью Мексико Ст.                           niu meqsiko st.
Оклахома                                  oklahoma
Юж. Миссисипи                             samx. misisipi
Калифорния Ирвин                          kalifornia irvini
Гуандун Тайгерс                           guandun Taigersi
Синьцзян Тайгерс                          sinczian Taigersi
Ляонин Хантерс                            liaonin hanTersi
Цзянсу Дрэгонс                            cziansu dregonsi
Шаньдун Лайонс                            Sandun laionsi
Шэньси Кайлинс                            Sensi kailinsi
Джеймс Мэдисон                            jeims medisoni
Зап. Каролина                             das. karolina
Флорида АМ                                florida am
Манхэттен                                 manheteni
Принстон                                  pristoni
НС Вилмингтон                             ns vilmingtoni
Дэвидсон                                  devidsoni
Орегон Ст.                                oregoni st.
Зволле                                    zvole
Роттердам                                 roterdami
Веерт                                     veerti
Ст. Джозеф                                st. jozefi
Аляска Анкеридж                           aliaska ankeriji
Фордхэм                                   fordhemi
Ст. Джонс                                 st. jonsi
Северовосточный Унив.                     CrdiloaRmosavleTis univ.
ЮВ Миссури Ст.                            uv misuri st.
Майами (Огайо)                            maiami (ohaio)
Гарвард                                   harvardi
Ла Салль                                  la sali
Кал Поли Сан Луис                         kal poli san luisi
Миссисипи Веллей Ст.                      misisipi valei st.
Денвер                                    denveri
Бостон Унив                               bostoni univ.
Брэдли                                    bredli
Невада                                    nevada
