Andrea Collarini                          a. kolarini
Guido Pella                               g. pela
Jerzy Janowicz                            e. ianoviCi
Nicolas Renavand                          n. renavani
Toni Androic                              t. androiCi
Jose Statham                              x. stethemi
Richard Becker                            r. bekeri
Romain Jouan                              r. juani
Hiroki Moriya                             h. moria
Aldin Setkic                              a. setkiCi
Colin Fleming                             k. flemingi
Federico Del Bonis                        f. del bonisi
James McGee                               j. makgi
Veronika Kapshay                          v. kapSai
Madison Keys                              m. keisi
Maria Teresa Torro                        m. t. toro
Mona Barthel                              m. barTeli
Javier Marti                              x. marti
Nastassja Burnett                         n. barneti
Dominik Schulz                            d. Sulci
Laurent Rochette                          l. roSeti
Alexandra Dulgheru                        a. dulgeru
Dusan Lajovic                             d. laioviCi
Maria Joao Koehler                        m. Joao keleri
Fabricio Neis                             f. neisi
Andre Begemann                            a. begemani
Suk-Young Jeong                           s. i. CJoni
Gerald Melzer                             g. melceri
Paula Kania                               p. kania
P. Kania                                  p. kania
Claire Feuerstein                         k. fiorSteini
Katarzyna Piter                           k. piteri
Laurynas Grigelis                         l. grigelisi
Axel Michon                               a. miSoni
Julien Obry                               J. obri
Kristina Mladenovic                       k. mladenoviCi
K. Mladenovic                             k. mladenoviCi
Jan-Lennard Struff                        i-l. Strufi
Miloslav Mecir                            m. meciri
Irina Buryachok                           i. buriaCoki
Stephan Fransen                           s. franseni
Steven Diez                               s. diesi
Karolina Pliskova                         kar. pliskova
Ka Pliskova                               kar. pliskova
Philipp Marx                              f. marqsi
Kevin Krawietz                            k. kravici
Tennys Sandgren                           t. sandgreni
Austin Krajicek                           a. kraiCeki
Denis Kudla                               d. kudla
Leonardo Kirche                           l. kirxe
Fabrice Martin                            f. martini
Sergey Shipilov                           s. Sipilovi
David Goffin                              d. gofini
Tomasz Bednarek                           t. bednareki
Eugenie Bouchard                          e. buSari
Gregoire Burquier                         g. burqe
Oksana Kalashnikova                       o. kalaSnikova
Bojana Jovanovski                         b. iovanovski
Michael Venus                             m. venusi
Arnau Brugues                             a. brugesi
Oleksandr Nedovyesov                      o. nedovisovi
Lesia Tsurenko                            l. curenko
Justyna Jegiolka                          J. egiolka
Aljaz Bedene                              a. bedene
Facundo Bagnis                            f. bagnisi
Guillermo Rivera                          g. rivera
Yuichi Ito                                i. ito
Ze Zhang                                  c. Czani
Hsin-Han Lee                              s-h. li
Treat Huey                                t. huei
T. Huey                                   t. huei
Arthur de Greef                           a. de grefi
Zhe Li                                    C. li
Bradley Klahn                             b. klani
Alexander Lobkov                          a. lobkovi
Lobkov, Alexander                         a. lobkovi
Yulia Putintseva                          i. putinceva
Steve Johnson                             s. jonsoni
Florian Reynet                            f. reine
Dominic Inglot                            d. ingloti
Rhyne Williams                            r. viliamsi
David Rice                                d. raisi
Duilio Beretta                            d. bereta
Misaki Doi                                m. doi
James Duckworth                           j. dakvorTi
Andrey Kuznetsov                          and. kuznecovi
Marin Draganja                            m. dragania
Tiago Fernandes                           t. fernandesi
Darija Jurak                              d. iuraki
Camila Giorgi                             k. jorji
Caroline Garcia                           k. garsia
Facundo Arguello                          f. argelo
Agustin Velotti                           a. veloti
Jack Sock                                 j. soki
Di Wu                                     d. u
Lauren Davis                              l. devisi
Blake Davis                               b. devisi
Monica Puig                               m. puigi
Adil Shamasdin                            a. Samasdini
Shelby Rogers                             s. rojersi
Guilherme Clezar                          g. klezari
Ruan Roelofse                             r. rolofsi
Matteo Viola                              m. viola
Gerard Granollers                         x. granolersi
Alessandro Giannessi                      a. janesi
Peter Torebko                             p. torebko
Jiri Vesely                               i. veseli
Andrej Martin                             an. martini
Frederico Ferreira Silva                  f. frederiko silva
Sofia Araujo                              s. arauxo
Denis Zivkovic                            d. JivkoviCi
Nikola Cacic                              n. kaCiCi
Daniel Kosakowski                         d. kosakovski
Ji-Sung Nam                               C. son nami
Sekou Bangoura                            s. bangura
Magda Linette                             m. linete
Somdev Devvarman                          s. devarmani
Dewarman Somdev Gajdosova J               s. devarmani jn.
Stefanie Voegele                          s. fiogeli
Marton Fucsovics                          m. fuCoviCi
Martin Emmrich                            m. emrixi
Sean Thornley                             s. Tornli
Valeria Savinykh                          v. savinixi
Walter Trusendi                           v. trusendi
Robert Farah                              r. fara
Guillermo Duran                           g. durani
Victor Baluda                             v. baluda
Baluda, Victor                            v. baluda
Jamie Hampton                             j. hemptoni
Dino Marcan                               d. marcani
Chuhan Wang                               C. vani
Yu Chang                                  i. Cani
Augusto Laranja                           a. laranJa
Temur Ismailov                            t. ismailovi
Ismailov, Temur                           t. ismailovi
Ivo Klec                                  i. kleci
Marco Cecchinato                          m. Cekinato
Michal Konecny                            m. koneCni
Pierre-Hugues Herbert                     p. h. herberti
Pierre Hugues Herbert                     p. h. herberti
P. Herbert                                p. herberti
Zi Yan                                    zi iani
Pablo Galdon                              p. galdoni
Radu Albot                                r. alboti
Albot, Radu                               r. alboti
Christopher Rungkat                       k. runkati
Ariel Behar                               a. behari
Kevin Anderson                            k. andersoni
Alexandr Dolgopolov                       a. dolgopolovi
Shuko Aoyama                              S. aoiama
Daria Gavrilova                           d. gavrilova
Maxime Teixeira                           m. teiSeira
Hyeon Chung                               h. Cangi
